DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
10-FEB-2026,FUTSTK,CGPOWER,24-FEB-2026,682.00
10-FEB-2026,FUTSTK,CGPOWER,26-FEB-2026,683.20
10-FEB-2026,FUTSTK,CGPOWER,25-MAR-2026,686.00
10-FEB-2026,FUTSTK,CGPOWER,30-MAR-2026,685.20
10-FEB-2026,FUTSTK,CGPOWER,28-APR-2026,688.10
10-FEB-2026,FUTSTK,CGPOWER,30-APR-2026,689.70
10-FEB-2026,FUTSTK,CHOLAFIN,24-FEB-2026,1731.90
10-FEB-2026,FUTSTK,CHOLAFIN,26-FEB-2026,1730.35
10-FEB-2026,FUTSTK,CHOLAFIN,25-MAR-2026,1737.40
10-FEB-2026,FUTSTK,CHOLAFIN,30-MAR-2026,1739.60
10-FEB-2026,FUTSTK,CHOLAFIN,28-APR-2026,1746.50
